end,end 2,end 3
Marriage Bureaus in Durgapur,,
Name,Address,Contact No
Marriage Registry Office (Govt. Registered),"A1, Maulana Azad Road, City Centre, Durgapur - 713216",09434388319
Bengali Matrimony,"Beside Bank Of Baroda, Nachan Road, Benachity, Durgapur - 713213","0343- 6450218, 6450216"
B.S. Marriage Bureau,"9/8 SEPCO Township, B-Zone, Durgapur-713205",08609313390/ 9091027381/ 7865082264
ROYAL MATRIMONY SERVICES,"2/19, SEPCO TOWNSHIP, B-Zone, Durgapur-713205",07865927558/ 8906236457
THE ASTHA,"B-19, Ambedkar Sarani, City Centre, Durgapur -713216",9332818241/ 9609515750
Wedding Bells,"14, Sail Co. Operative Housing, Near Kabiguru 2nd Stop, Mukund Das Path, City Centre, Durgapur - 713216",09477414787/ 9477414786
