end,end 2,end 3
Cinema Halls in Durgapur,,
Name,Address,Contact No
ARTI CINEMAS,"Fortune Plaza, Benachity, Durgapur -13",09547865453
BIOSCOPE CINEMA,"Junction Mall, City Centre, Durgapur -16",0343 254 3830
CARNIVAL CINEMAS (Dreamplex),"City Centre, Durgapur -16",Telebooking:- 0343-2543589
DURGAPUR CINEMA,"City Centre, Durgapur -16","+91 9434388343, 9434177936"
