end,end 2,end 3,end 4,end 5,end 6
Trains from Durgapur,,,,,
(Durgapur to  train)  (Durgapur to  train),howrah,asansol,,,
Code,Train Name,Arrives,Departs,Stop time,M	T	W	T	F	S	S
12319,Kolkata Agra  Express,15:29,15:31,2 min,N	N	Y	N	N	N	N
04120,Allahabad Howrah Special,11:52,11:54,2 min,N	N	N	N	Y	N	Y
03065,Howrah Patna Special,01:53,01:55,2 min,N	N	Y	N	N	N	N
12176,Chambal Express,04:26,04:28,2 min,N	Y	N	Y	N	Y	N
03062,Lokmanyatilak Howrah Puja Special,00:45,00:47,2 min,N	N	N	Y	N	N	N
03074,Patna Howrah Special,05:40,05:42,2 min,N	N	N	N	N	N	Y
03073,Howrah Patna Special,14:53,14:55,2 min,N	N	N	N	N	Y	N
03134,Patna Kolkata Special,17:56,17:58,2 min,N	Y	N	N	N	N	N
19413,Kolkata Express,12:33,12:35,2 min,N	N	Y	N	N	N	N
03029,Howrah Raxual Special,01:59,02:01,2 min,N	N	N	N	N	Y	N
53045,Mayurakshi Fast Passenger,19:13,19:15,2 min,Y	Y	Y	Y	Y	Y	Y
23040,Rajgir Howrah Ch,02:04,02:08,4 min,Y	Y	Y	Y	Y	Y	Y
03030,Raxual Howrah Special,08:52,08:54,2 min,N	N	N	N	N	N	Y
22388,Blackdiamond Express,18:19,18:21,2 min,Y	Y	Y	Y	Y	Y	Y
15630,Guwahati Ms Express,09:18,09:38,20 min,N	N	N	N	Y	N	N
12178,Chambal Express,04:26,04:28,2 min,Y	N	N	N	N	N	N
12372,Jaisalmer Howrah Superfast Express,13:52,13:54,2 min,N	N	N	Y	N	N	N
03125,Kolkata Anand Vihar special,16:23,16:25,2 min,N	N	N	N	N	Y	N
03135,Kolkata Gorakhpur Special,14:56,14:58,2 min,N	N	Y	N	N	N	N
15905,Kanyakumari Dibrugarh Vivek Express,00:46,01:06,20 min,N	N	N	Y	N	N	N
03190,Anand Vihar Sealdah Superfast Special,08:57,08:59,20 min,N	N	N	N	N	Y	N
12339,Coal Field Express,19:24,19:26,2 min,Y	Y	Y	Y	Y	Y	Y
12341,Agnibina Express,20:24,20:26,2 min,Y	Y	Y	Y	Y	Y	Y
03043,Howrah Raxual Special,01:59,02:01,2 min,N	N	Y	N	Y	N	N
03015,Howrah Haridwar Puja Special,00:55,00:57,2 min,N	Y	N	N	N	N	N
23010,Doon Exxpress,03:08,03:10,2 min,Y	Y	Y	Y	Y	Y	Y
13158,Tirhut Express,23:25,23:27,2 min,N	N	Y	N	N	N	N
53131,Sealdah Muzaffarpur Fast passenger,09:58,10:00,2 min,Y	Y	Y	Y	Y	Y	Y
13052,Hool Express,15:09,15:11,2 min,Y	Y	Y	Y	Y	Y	Y
13026,Bhopal Howrah Express,12:33,12:35,2 min,N	N	Y	N	N	N	N
12321,Howrah Mumbai Mail,00:05,00:07,2 min,Y	Y	Y	Y	Y	Y	Y
03129,Kolkata Haridwar Njp Special,02:02,02:04,2 min,N	N	Y	N	N	N	N
13165,Kolkata Sitamarhi Express,01:00,01:02,2 min,N	N	N	N	N	Y	N
19605,Kolkata Ahmedabad Express,15:27,15:29,2 min,N	N	N	N	N	Y	N
19606,Ahmedabad Kolkata Express,12:34,12:36,2 min,N	N	Y	N	N	N	N
03113,Kolkata New Delhi Special,02:28,02:30,2 min,N	N	N	N	N	N	Y
12312,Kalka Mail,05:06,05:10,4 min,Y	Y	Y	Y	Y	Y	Y
13019,Bagh Express,00:26,00:28,2 min,Y	Y	Y	Y	Y	Y	Y
15233,Kolkata Darbhanga Express,13:18,13:20,2 min,Y	N	N	Y	N	N	N
13044,Raxual Howrah Express,08:59,09:01,2 min,N	N	N	Y	N	Y	N
13007,U Abhatoofan Express,12:33,12:35,2 min,Y	Y	Y	Y	Y	Y	Y
19607,Kolkata Ajmer Aii Wkly Express,14:53,14:55,2 min,N	N	N	Y	N	N	N
13005,Amritsar Mail,21:11,21:14,3 min,Y	Y	Y	Y	Y	Y	Y
19608,Ajmer Kolkata Express,13:03,13:05,2 min,Y	N	N	Y	N	N	N
13009,Doon Express,23:31,23:33,2 min,Y	Y	Y	Y	Y	Y	Y
13136,Jaynagar Kolkata Express,23:25,23:27,2 min,N	N	N	N	N	N	Y
03543,Howrah Raxual Special,01:59,02:01,2 min,N	N	N	N	Y	N	N
13425,Malda Town Surat Express,17:27,17:47,20 min,N	N	N	N	N	Y	N
06336,Guwahati Express,13:40,14:05,25 min,N	N	N	N	N	N	Y
12353,Howrah Lal Kuan Express,10:17,10:19,2 min,N	N	N	N	Y	N	N
13008,U A Toofan Express,15:55,15:57,2 min,Y	Y	Y	Y	Y	Y	Y
13186,Ganga Sagar Express,02:13,02:15,2 min,Y	Y	Y	Y	Y	Y	Y
12351,Danapur Express,22:38,22:40,2 min,Y	Y	Y	Y	Y	Y	Y
12314,Sealdah Rjdhani,07:47,07:49,2 min,Y	Y	Y	Y	Y	Y	Y
12330,W B Sampark Kranti,14:27,14:29,2 min,N	N	Y	N	N	N	N
13022,Mithila Express,00:33,00:37,4 min,Y	Y	Y	Y	Y	Y	Y
12177,Chambal Express,19:52,19:54,4 min,N	N	N	N	Y	N	N
15942,Dibrugarh Jhajha Express,13:35,14:00,25min,N	N	N	Y	N	N	N
22387,Blackdiamond Express,08:55,08:57,2 min,Y	Y	Y	Y	Y	Y	Y
03585,Kolkota Jaynagar Special,22:17,22:19,2 min,Y	N	N	N	N	N	N
03173,Sealdah Barhni Special,14:53,14:55,2 min,N	N	N	N	N	N	Y
13132,Anand Vihar Kolkata Express,03:31,03:35,4 min,Y	Y	Y	Y	Y	Y	Y
12352,Danapur Howrah Express,04:15,04:17,2 min,Y	Y	Y	Y	Y	Y	Y
15941,Jhajha Dibrugarh Express,02:47,03:12,25 min,N	N	N	N	Y	N	N
22612,New Jalpaiguri Chennai Express,07:35,08:00,25 min,N	N	N	N	Y	N	N
15629,Guwahati Express,08:45,09:10,25 min,Y	N	N	N	N	N	N
15639,Puri Ghy Express,02:47,03:12,25 min,N	Y	N	N	N	N	N
12379,Jalianwalab Express,15:29,15:31,2 min,N	N	N	N	Y	N	N
15906,Vivek Express,07:35,08:00,25 min,N	N	N	N	N	Y	N
13417,Dgha Mldt Express,08:45,09:10,25 min,N	N	N	Y	N	N	N
15047,Purbanchal Express,17:38,17:43,5 min,Y	Y	N	Y	N	Y	N
12380,Jalianwala B Express,14:27,14:29,2 min,N	N	N	N	N	N	Y
11447,Shaktipunj Express,01:30,01:32,2 min,Y	Y	Y	Y	Y	Y	Y
13418,Mldt Dgha Express,13:35,14:00,25 min,N	N	N	Y	N	N	N
15235,Hwh Dbg Express,13:18,13:20,2 min,N	N	N	N	N	Y	N
12384,Intercity Express,07:25,07:26,1 min,Y	Y	Y	Y	Y	Y	N
12383,Intercity Express,20:03,20:04,1 min,Y	Y	Y	Y	Y	Y	N
13043,Hwh Rxl Express,01:59,02:01,2 min,N	N	Y	N	Y	N	N
15050,Gkp Kolkata Express,00:58,01:00,2 min,N	N	Y	N	N	Y	N
15929,Dibrugarh Express,08:45,09:10,25 min,N	N	N	Y	N	N	N
03061,Hwh Ltt Special,10:17,10:19,2 min,N	Y	N	N	N	N	N
13185,Gangasagar Express,21:27,21:32,5 min,Y	Y	Y	Y	Y	Y	Y
13135,Koaa Jyg Express,00:15,00:17,2 min,N	N	N	N	N	Y	N
13151,Jammu Tawi Express,14:25,14:27,2 min,Y	Y	Y	Y	Y	Y	Y
13105,Sdah Bui Express,16:33,16:35,2 min,Y	Y	Y	Y	Y	Y	Y
13049,Amritsar Express,17:17,17:19,2 min,Y	Y	Y	Y	Y	Y	Y
22611,Mas Njp Express,17:12,17:47,35 min,N	N	Y	N	N	N	N
53520,Grd Link Passenger Express,03:31,03:35,4 min,Y	Y	Y	Y	Y	Y	Y
12311,Hwh Dli Klk Mail,21:41,21:43,2 min,Y	Y	Y	Y	Y	Y	Y
12386,Dhn Hwh D D Express,20:15,20:17,2 min,Y	Y	Y	Y	Y	Y	N
15048,Purvanchal Express,00:58,01:00,2 min,Y	Y	N	N	Y	N	Y
22912,Shipra Express,19:52,19:54,2 min,Y	N	N	Y	N	Y	N
15051,Koaa Gkp Express,17:41,17:43,2 min,N	N	N	N	Y	N	N
15930,Dbrg Ms Express,09:18,09:38,20 min,N	N	N	N	N	N	Y
13050,Asr Hwh Express,11:53,11:57,4 min,Y	Y	Y	Y	Y	Y	Y
15640,Ghy Puri Express,13:35,14:00,25 min,N	N	N	N	N	N	Y
12551,Yprkyq Ac Express,18:43,19:08,25 min,N	N	N	N	N	Y	N
13006,Asr Hwh Mail,04:42,04:46,4 min,Y	Y	Y	Y	Y	Y	Y
15049,Koaa Gkp Express,17:38,17:43,5 min,N	N	Y	N	N	N	Y
12024,Janshatabdi Express,11:17,11:19,2 min,Y	Y	Y	Y	Y	Y	N
12023,Janshatabdi Express,15:58,16:00,2 min,Y	Y	Y	Y	Y	Y	N
11448,Shaktipunj Express,15:11,15:13,2 min,Y	Y	Y	Y	Y	Y	Y
13021,Mithila Express,19:04,19:09,5 min,Y	Y	Y	Y	Y	Y	Y
13131,Koaa Anvt Express,23:04,23:06,2 min,Y	Y	Y	Y	Y	Y	Y
12495,Bkn Koaa Superfast Express,10:44,10:46,2 min,N	N	N	Y	N	N	N
