end,end 2,end 3
Interior Decorators/ Vastu of Durgapur,,
Name,Address,Contact No
Atul Sharma,Durgapur,09434003264
Cad Campus,Durgapur,0343 2567731
Eagle Furniture,"193, Sarat chandra Avenue, Chandidas market, B-Zone, Durgapur - 713205","+91 9233365222 , 9434008870, 9733016666"
Interior One,+91 90076884241,
Mono Light Interior,Durgapur,09332236625
Vishal Interior,"74, J P Avenue, Muchipara, Durgapur - 713212","+91-9932245337, 9475752828"
Versatile,"Bidhan Nagar, Durgapur-12",0343 2534520
