end,end 2,end 3
Boarding Schools in  Durgapur,,
Name,Address,Contact No
"Beachwod School, Kids Camp","Satyajit Roy Sarani, City Centre, Durgapur-16",0343 - 2602789
Jawahar Navoday Vidyalay,"B-Zone, Durgapur -05",.
Nirjhar Day Boarding School,"Santi Path, C-Zone, Durgapur -05",0343 - 2603939.
Pandit Raghunath Murmu Abasik High School(Govt. Sponsord),"Bidhannagar, Durgapur -06",.
St. John's Public School,"Bonsol, opposite Jabberpally, 1 Km from Shivaji Amtala, Azone, Durgapur",0343- 2578840/ 9475742316
Zoom School,"Lala lajpat Rai Road, A-Zone, Durgapur -713204",.
