end,end 2,end 3
Research Institutes in  Durgapur,,
Name,Address,Contact No
Central Mechanical Engineering Institute,"Near Ghandi More, Opposite NIT, Durgapur- 9",.
Durgapur Society for Education of Advanced Research on Community Health,"Bidhannagar, Durgapur -12",.
