end,end 2,end 3,end 4
16:00,City Centre,16:20,City Centre
16:30,City Centre,16:45,City Centre
17:25,City Centre,.,.
"Karunamoyee Bus (SBSTC) - City Centre, DGP",,,
Karunamoyee Bus stand Ph. no.- 033-22486859/ 9836853555,,,
SCH_DEP,ROUTE NAME,SCH_DEP,ROUTE NAME
05:50,Karunamoyee,06:00,Karunamoyee
06:15,Karunamoyee,06:30,Karunamoyee
06:40,Karunamoyee,06:45,Karunamoyee
07:00,Karunamoyee,07:30,Karunamoyee
08:00,Karunamoyee,09:00,Karunamoyee
09:30,Karunamoyee,10:30,Karunamoyee
11:30,Karunamoyee,12:00,Karunamoyee
12:30,Karunamoyee,13:00,Karunamoyee
13:30,Karunamoyee,14:00,Karunamoyee
14:30,Karunamoyee,15:00,Karunamoyee
15:30,Karunamoyee,16:00,Karunamoyee
15:30,Karunamoyee,16:00,Karunamoyee
17:00,Karunamoyee,.,.
City Centre - Barrackpore (SBSTC),,,
SCH_DEP,ROUTE NAME,SCH_DEP,ROUTE NAME
07:05,City Centre,15:10,City Centre
"City Centre - Mukundpur Via Karunamoyee, Rubi Hospital (SBSTC)",,,
SCH_DEP,ROUTE NAME,SCH_DEP,ROUTE NAME
06:50,City Centre,.,.
