end,end 2,end 3,end 4
Core Industries of Durgapur,,,
Name,Address,Contact No,Product
Durgapur Steel Plant (D.S.P.),"G.T. Road, Durgapur -03",2574318,"P.R. TMT Bars & Rods, Angles, Channels, Wheel & Axle"
Durgapur Thermal Power Station(D.V.C.),"Maya Bazar, Durgapur -07",2590941,P.R. Power Generation
The Durgapur Projects Ltd(D.P.L.),Durgapur -02,2555586/ 2556629/ 2555058/ 2590610,"P.R. Power, Coke, Industrial Gas, Domestic Power, Industrial Power"
NTPC-SAIL Power CO Ltd,"DSP Complex, Durgapur -03",2549829,P.R. Power Generation & Distribution
