end,end 2,end 3
Natural Care (Ladies Beauty Parlour),"Jaharlal Nehru Road, Steel Park, Fuljhore, Durgapur - 713206","+91 8927262651, 9434475136"
Neel Davids Family Salon,"Shahid Khudiram Sarani, Near Punjab National Bank, City Centre, Durgapur - 713216","0343-2549988, 2549989, 8967801655"
New Boys Saloon,"Trunk Road, A-Zone, Durgapur - 713204",+91 9153454011
Nidhi's Beauty Parlour,"11/2 Einstein Avenue, B-Zone, Durgapur - 713205",+91 7602249579
Orchid Women's Beauty Parlour,"Quisor Lane, Benachity, Durgapur - 713213",+91 9832111120
Payel Beauty Parlor & Spa Fully A.c. (Unisex Beauty Parlours),"MEAV-34, Bengal Ambuja., City Centre, Durgapur - 713216",+91 8343895064
Radha Hair Style,"Ghosh Market, Benachity, Durgapur - 713213, Near Durga Mandir",+91 8906972326
Rajesh Beauty Parlour,"B/25 Ambedkar Sarani, City Centre, Durgapur - 713216","+91 9932066766, 9434225519, 7384851551"
Rakhi's Beauty Clinic & Treatment Centre,"5/22, Maxmuller Path, City Centre, Durgapur - 713216, Near Bidisha Bus Stop",+91 7585886151
Ruplagi Ladies Beauty Parlour,"Steel Park More, Fuljhore, Durgapur - 713206",+91 9333905337
Ruprashi Beauty Parlour (ladies),"Stall No-31, Ashok Avenue, A-Zone, Durgapur - 713205",09564661227
Sabita Beauty Parlour,"Benachity Bazar, Durgapur - 713213",0343- 2544347/ 9635694223
Sajni Beauty Parlour,"Rohini mansion, Nachan Road, Benachity, Durgapur - 713213",9832963079
Saloon 4 U (Gents ),"City Centre, Durgapur-713216","+91 8478057901, 9732224822"
Satarupa Beauty Care & Spa,"Marconi Road, B-Zone, Durgapur - 713205, Opposite Rastaka Decorators",+91 9434349086
Shahnaz Hussain's Beauty Parlor,"Sarat Chandra West, Chandidas Market, B-Zone, Durgapur-713205",0343- 2569780
She Beauty Parlour Durgapur,"Benachity, Durgapur - 713213",9333926299
Solution Enterprise (Beautician & Mehendi),"C/13 Ram Kinkar Bez Saroni Road, Dpctor's Colony ext., City Centre, Durgapur-713216","+91 8145977753, 9732094785"
Sona Herbal Beauti Clinic,"J.M. Sengupta Road, A- Zone, Durgapur - 713204, Opposite of Near Nehru Stadium",+91 9832222273
Sona's Herbal Beauty School,"6/1, Udaysankar Bithi, City Centre, Durgapur - 713216, Near Choturango Maath",+91 9832222273
Soukhin Ladies Beauty Parlour,"1/13 Neheru Avenue, C-Zone, Durgapur-713205",9832811434
Soul Spa Wellness Club,"LG 813, 1st Floor, Junction Mall, City Centre, Durgapur - 713216, Dist- Paschim Bardhaman",+91 9474650458
Soundarja (Ladies Beauty Parlour),"RA/65, SSB Sarani, Durgapur - 713212, Near Pritika Hotel","+91 8436846484, 9434161083"
Sparkling Gents Parlour,"Sail Co-operative, City Centre, Durgapur-713216",08101295231/ 9434160800
Star & Sitara Salon,"2nd Floor, Dreamplex, City Centre, Durgapur - 713216",0343- 3040960
Star Haircutting Parlour,"Jolkhabar Galli, Benachity, Durgapur - 713213, Beside C.P.I.M. Party Office",+91 9332234067
Style In Gents Saloon,"Nachan Road, Benachity, Durgapur - 713213, Bhiringi School",+91 7384209880
Sujata Beauties Salon,"ZSG 5, Bidhan Nagar Zonal Market, Adda Road, Fuljhore, Durgapur - 713206","+91 9002222042, 8942018572"
Sumis beauty care & spa,"RF 5, Boreman street, Bidhannagar, Durgapur - 713212","+91 9474112891, 9851872284"
Tabassum Beauty Parlour,"Newton Avenue, B-Zone, Durgapur- 713205",08016086267
The Fashion Gents Parlour,"Sarat Chandra Avenue, Chandidas Market, B-Zone, Durgapur - 713205",+91 9647971013
The Glamourous,"UPC-023 Ambuja Colony, City Centre, Durgapur - 713216, Near Ambuja Kali Bari",+91 9614050463
The Heaven (Ladies Beauty Parlour),"Bidhan Park, House no A 2/7, Sector 2, Fuljhore, Durgapur - 713206, Opp Mahalaxmi Park Bus stop","+91 9851084464, 9641282060"
The New Hairborn Parlour (Mens Parlour),"Shop no. 4, Jemua Road, Fuljhore, Durgapur - 713206, Near B. C. Roy Engineering College",+91 9734272138
The Nice  (Gents ),"26, Sarat Chandra East, Chandidas market, Durgapur-713205",9732042350/ 9563781484
The Ruprekhaw  (Ladies ),"Netaji Subash More Road, Durgapur - 713204",+91 7679111124
The Saajo  (Ladies Beauty parlour),"Nachan Road, Benachity, Durgapur - 713213, Near shriniketan sharee Shop",+91 9832779307
The Talc (Gents ),"Sarat Chandra East, Chandidas market, Durgapur-713205",9232149441
Tillotoma Beauty Parlour Durgapur,"59, Kabiguru Sarani, City Centre, Durgapur - 713216",0343- 2549424
Tuli Beauty Parlour,"Golf Nagar, Durgapur - 713203, Near Golf Club",+91 7908481243
Upahar,"Bengal Ambuja Housing Complex, City Centre, Durgapur - 713216",0343
VLCC,"MNAV-11, Bengal Ambuja Housing Complex, City Centre, Durgapur - 713216",0343- 2542571/ 8170044108/ 9732003333
Woman's Era Beauty World,"Amrabati market, Defence Colony, Durgapur - 713214, Near Durgapur govt. college",+91 9614130032
Woman's Heaven,"Fuljhore More, Fuljhore, Durgapur - 713206, Near Carmel School",+91 9474108570
