end,end 2,end 3
Hostels and lodging for students in Durgapur,,
Name,Address,Contact No
City Girls' Hostel,"2A/2, Prafulla Chaki Path, Sail Co-operative, City Centre, Durgapur-713216",09474600458/ 9434646832/ 9434142577
Girls Mess,"Saptadipa Bhaban, Fuljhore, Durgapur-713206",+91 9332915783/ 9851212183
Student Hostel,"MNAV -21-A, Urvashi Malhar, Bengal Ambuja Complex, City Centre, Durgapur-713216",+91 9332868778/ 9332039053
Student's Nest ( For Boys & Girls),"25 No Manik Bandhopadhyay Road, City Centre, Durgapur-713216",+91 9800856311/ 9832200270/ 9832217280
